,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
82,atty general,0,2,2,0,0,0,0,0,2,-0.16875947968467153,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
83,carter fbi,0,2,0,1,0,0,0,0,1,-0.23203344998246828,0.0,1.0,0.0,0.0,0.0,0.0,0.002080584845306822,b
84,hillary clinton,0,2,7,0,0,0,0,0,7,0.1476103718043121,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
85,the obama,0,2,2,1,0,0,0,0,3,-0.10548550938687482,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.9863241597361124,g
86,irs,0,1,0,0,0,1,0,0,1,-0.23203344998246828,0.0,0.0,0.0,1.0,0.0,0.0,0.9805450835666127,g
87,united airlines,0,2,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
88,pbo,0,1,0,0,0,1,0,0,1,-0.23203344998246828,0.0,0.0,0.0,1.0,0.0,0.0,0.9805450835666127,g
89,hitler,0,1,6,0,0,0,0,0,6,0.08433640150651538,1.0,0.0,0.0,0.0,0.0,0.0,0.9999826432103254,g
90,martin luther king,0,3,3,0,0,0,0,0,3,-0.10548550938687482,1.0,0.0,0.0,0.0,0.0,0.0,0.9851184106699,g
91,msm,0,1,0,0,0,6,0,0,6,0.08433640150651538,0.0,0.0,0.0,1.0,0.0,0.0,0.9805450835666127,g
92,tillerson,0,1,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999826432103254,g
93,warriors,0,1,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999826432103254,g
94,djt,0,1,0,0,0,3,0,0,3,-0.10548550938687482,0.0,0.0,0.0,1.0,0.0,0.0,0.9805450835666127,g
95,usa,0,1,0,0,0,7,0,0,7,0.1476103718043121,0.0,0.0,0.0,1.0,0.0,0.0,0.9805450835666127,g
96,wp,0,1,0,0,0,1,0,0,1,-0.23203344998246828,0.0,0.0,0.0,1.0,0.0,0.0,0.9805450835666127,g
97,u.s,0,1,0,0,0,2,0,0,2,-0.16875947968467153,0.0,0.0,0.0,1.0,0.0,0.0,0.9805450835666127,g
98,syria,0,1,6,0,0,1,0,0,7,0.1476103718043121,0.8571428571428571,0.0,0.0,0.14285714285714285,0.0,0.0,0.9999889817395908,g
99,washpo,0,1,0,0,1,0,0,0,1,-0.23203344998246828,0.0,0.0,1.0,0.0,0.0,0.0,0.04912697568208058,b
100,barry,0,1,1,0,1,0,0,0,2,-0.16875947968467153,0.5,0.0,0.5,0.0,0.0,0.0,0.8937380341809313,g
101,surveil trump,0,2,0,1,0,0,0,0,1,-0.23203344998246828,0.0,1.0,0.0,0.0,0.0,0.0,0.002080584845306822,b
102,congress,0,1,11,0,1,0,1,0,13,0.5272541935910925,0.8461538461538461,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.9952991142798786,g
103,earth,0,1,1,0,1,0,4,0,6,0.08433640150651538,0.16666666666666666,0.0,0.16666666666666666,0.0,0.6666666666666666,0.0,0.021137896331840076,b
104,carter page the washington,0,4,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9565202455261986,g
105,the united states,0,3,1,1,0,0,0,0,2,-0.16875947968467153,0.5,0.5,0.0,0.0,0.0,0.0,0.45718066302234067,a
106,msnbc,0,1,0,0,0,2,0,0,2,-0.16875947968467153,0.0,0.0,0.0,1.0,0.0,0.0,0.9805450835666127,g
107,king 2,0,2,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
108,vlad putin,0,2,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
