,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,evictionFlag,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
4969,fbi found,10,2,1,820,0,0,0,0,821,0,0.6194542931168308,0.001218026796589525,0.9987819732034104,0.0,0.0,0.0,0.0,0.29119274490445624,b
4971,creepy,12,1,1,0,2,0,433,8,444,0,0.2855033932741752,0.0022522522522522522,0.0,0.0045045045045045045,0.0,0.9752252252252253,0.018018018018018018,0.003549979377838484,b
4974,put,0,1,2,0,22,2,845,768,1639,0,1.3440480227489058,0.0012202562538133007,0.0,0.013422818791946308,0.0012202562538133007,0.5155582672361196,0.4685784014643075,0.04084705996636917,b
4975,somewhere,0,1,2,0,2,1,59,3,67,0,-0.04844750656848044,0.029850746268656716,0.0,0.029850746268656716,0.014925373134328358,0.8805970149253731,0.04477611940298507,0.006522241148304451,b
4978,tell,0,1,9,0,24,3,318,60,414,0,0.2589290511116296,0.021739130434782608,0.0,0.057971014492753624,0.007246376811594203,0.7681159420289855,0.14492753623188406,0.011042067464662842,b
4980,julian assange,0,2,1790,0,0,0,2,22,1814,0,1.4990650186970882,0.9867695700110254,0.0,0.0,0.0,0.0011025358324145535,0.012127894156560088,0.9826437828483175,g
4985,pedophiles,0,1,12,0,9,3,1998,18,2040,0,1.699258396321598,0.0058823529411764705,0.0,0.004411764705882353,0.0014705882352941176,0.9794117647058823,0.008823529411764706,0.003553554042727277,b
4992,god bless america,16,3,14,158,0,0,0,7,179,0,0.05076337083835624,0.0782122905027933,0.88268156424581,0.0,0.0,0.0,0.03910614525139665,0.35053429895953114,b
4994,best wishes,0,2,1,2,0,0,41,0,44,0,-0.06882116889309868,0.022727272727272728,0.045454545454545456,0.0,0.0,0.9318181818181818,0.0,0.004176329342937342,b
5000,nyt and wapo,9,3,562,0,0,0,0,2,564,0,0.3918007619243573,0.9964539007092199,0.0,0.0,0.0,0.0,0.0035460992907801418,0.9616980332280292,g
5007,ever want him to tweet me,2,6,1,0,0,0,0,28,29,0,-0.08210833997437145,0.034482758620689655,0.0,0.0,0.0,0.0,0.9655172413793104,0.5995386773911603,a
